patent_number,patent_date,patent_year,patent_title,patent_abstract,patent_kind,patent_type,patent_num_us_patent_citations,patent_num_us_application_citations
10044857,2018-08-07,2018,System and method for initiating an emergency response,"A system and method for initiating a personal emergency response is disclosed. The method can include receiving an emergency communication via a virtual assistant, spoken by a user and an urgent situation or an emergency situation. The emergency communication can be processed to determine the nature of the emergency communication and translate the emergency communication into an emergency data message having a digital representation of information related to the emergency communication. If the emergency communication indicates an urgent situation, the system can contact an emergency contact based on stored user preferences. If the emergency communication indicates an emergency situation, then the system can aid in the dispatch of emergency services and provide information about the user to provide a measured response to the emergency communication.",B2,utility,1,6
10048748,2018-08-14,2018,Audio-visual interaction with user devices,"A user device is enabled by an audio-visual assistant for audio-visual interaction with a user. The audio-visual assistant enables the user device to track the user's eyes and face to determine objects on the screen that the user is currently observing. Various tasks can be executed on the objects based on further input provided by the user. The user can provide further inputs via facial gestures, voice or combinations thereof for executing the various tasks.",B2,utility,1,9
10048973,2018-08-14,2018,Sequential activity intelligent personal assistant,"A non-transitory storage maintains a project script including a sequence of steps, each step including a description of the step and a sound signature indicative of ambient sounds that occur during performance of the step. An audio processor is programmed to receive ambient audio input and perform a time frequency analysis of the ambient audio input. A controller is programmed to provide a description of a next step of the project script upon completion of a current step identified responsive to the time frequency analysis of the ambient audio input matching a sound signature corresponding to the next step of the project script.",B1,utility,0,6
10051442,2018-08-14,2018,System and method for determining timing of response in a group communication using artificial intelligence,"Efficient use of channel bandwidth response, response timing, along with the ability to acquire the most accurate and up to date response are provided for management of virtual assistant search queries within a communication system (100). Improved management is obtained using an artificial intelligence (AI) server (104) controlling response activity to a query communication device (102) by incorporating one or more of: adjusting verbosity of responses (158), redirecting queries from the AI server to alternate resources (412), and/or prioritizing of a response (506) based on wait time.",B2,utility,9,73
10055681,2018-08-21,2018,Mapping actions and objects to tasks,"Techniques for mapping actions and objects to tasks may include identifying a task to be performed by a virtual assistant for an action and/or object. The task may be identified based on a task map of the virtual assistant. In some examples, the task may be identified based on contextual information of a user, such as a conversation history, content output history, user preferences, and so on. The techniques may also include customizing a task map for a particular context, such as a particular user, industry, platform, device type, and so on. The customization may include assigning an action, object, and/or variable value to a particular task.",B2,utility,4,14
10056082,2018-08-21,2018,Mobile terminal and method of controlling therefor,"A mobile terminal including a wireless communication unit configured to wirelessly communicate with a conversation partner; a display unit configured to display a conversation window displaying messages transceived with the conversation partner; and a controller configured to respond to a selection of a message among the displayed messages, display a virtual assistant in the conversation window and control the virtual assistance to output information related to the selected message, and in response to a user request, control the virtual assistant to output information related to the user request.",B2,utility,0,8
10057125,2018-08-21,2018,Voice-enabled home setup,The present disclosure contemplates a variety of improved methods and systems for enabling users to set up and manage a variety of disparate IoT devices coupled to the framework and/or ambient operating system of an assistant device. The described solution includes a voice-driven assistant device setup process. An assistant device can determine the IoT devices in its physical environment and provide setup instructions to the user. The assistant device can further capture user responses and use the captured responses to connect to and manage/troubleshoot/control the IoT devices.,B1,utility,1,11
10066959,2018-09-04,2018,User interactions for a mapping application,"The present disclosure relates to systems and processes for interacting with mapping applications. In one example, a virtual assistant server can efficiently communicate with a map server to provide a user with map data in response to spoken user requests received at a user device. In another example, communicatively coupled electronic devices can be synchronized such that a location marker generated on one device can be displayed on the other device. In another example, an electronic device can display simplified views of individual route directions that can be updated based on movement of the user or in response to user requests. In another example, an electronic device can selectively display an interface including a current location of a user or an interface including a route to a predicted destination based on contextual information associated with the user. The interfaces can include affordances for launching an associated mapping application.",B2,utility,64,323
10068007,2018-09-04,2018,Interface between a virtual personal assisitant and an interactive voice response system,An interface is provided for an IVR system. The interface receives a transaction request from a Virtual Personal Assistant (VPA) for a transaction provided by the IVR system and determines the transaction pertaining to the request. The interface then executes the respective IVR transaction application and converts the voice prompts of the IVR application to semantic data requests that can be interpreted by the VPA.,B1,utility,2,5
10075676,2018-09-11,2018,Intelligent virtual assistant system and method,"An intelligent virtual assistant is provided for respectively customizable interactive audio/video content to each of a plurality of computing devices during a networked communication session. Input is received from at least one device, and is determined via information provided in or with the input, that the input is at least one of speech input, facial input, gesture input and textual input. The input is processed and machine-based learning occurs using at least some of the processed input. The intelligent virtual assistant is provided for the respectively customizable interactive audio/video content as a function of the machine-based learning process via at least one of the plurality of computing devices.",B2,utility,9,33
10079013,2018-09-18,2018,Sharing intents to provide virtual assistance in a multi-person dialog,"A computing system is operable as virtual personal assistant (VPA) to understand relationships between different instances of natural language dialog expressed by different people in a multi-person conversational dialog session. The VPA can develop a common resource, a shared intent, which represents the VPA's semantic understanding of at least a portion of the multi-person dialog experience. The VPA can store and manipulate multiple shared intents, and can alternate between different shared intents as the multi-person conversation unfolds. With the shared intents, the computing system can generate useful action items and present the action items to one or more of the participants in the dialog session.",B2,utility,10,34
10079926,2018-09-18,2018,Virtual telephony assistant,"Examples are disclosed for screening an inbound telephony call to a called party. At a communications server, an inbound telephony call intended for a called party's telephone number is received and checked against a whitelist database and a blacklist database. When the caller ID of the inbound call matches a telephone number contained in the blacklist database, the communications server automatically routes the call to a voicemail system or spam folder associated with the called party's telephone number. When the caller ID of the inbound call matches a telephone number contained in the whitelist database, the communications server determines whether the called party is available to receive the call. Otherwise, when the caller ID of the inbound call does not match a telephone number contained in either the whitelist database or the blacklist database, the communications server prompts the caller for additional information.",B1,utility,7,17
10083690,2018-09-25,2018,Better resolution when referencing to concepts,"Systems and processes for operating a virtual assistant programmed to refer to shared domain concepts using concept nodes are provided. In an example process, user speech input is received. A textual representation of the user speech input is generated. The textual representation is parsed to determine a primary domain representing a user intent for the textual representation. A first substring from the textual representation that corresponds to a first attribute of the primary domain is identified. The identified first substring is parsed to determine a secondary domain representing a user intent for the first substring. A task flow comprising one or more tasks is performed based on the primary domain and the secondary domain.",B2,utility,2058,2417
10084300,2018-09-25,2018,"Integrated electrical outlet cover and support for voice-controlled assistants, speakers, and other electronic devices","An integrated electrical outlet cover and device support is provided, comprising a frame mountable to an electrical outlet box around an electrical outlet and a device support affixed to one edge of the frame. The device support comprises a circular base having a front surface co-planar with a front surface of the frame and a sidewall extending outward from a perimeter of the front surface of the base. A device, such as a voice-controlled assistant, speaker, or other electronic device, is retainable within the support and may be plugged into a USB port in the electrical outlet. In various configurations, the unit may be retain such voice-controlled assistants as an Amazon Echo Dot or a Google Home Mini, among others.",B1,utility,5,4
10088972,2018-10-02,2018,Virtual assistant conversations,"Techniques and architectures for implementing a team of virtual assistants are described herein. The team may include multiple virtual assistants that are configured with different characteristics, such as different functionality, base language models, levels of training, visual appearances, personalities, and so on. The characteristics of the virtual assistants may be configured by trainers, end-users, and/or a virtual assistant service. The virtual assistants may be presented to end-users in conversation user interfaces to perform different tasks for the users in a conversational manner. The different virtual assistants may adapt to different contexts. The virtual assistants may additionally, or alternatively, interact with each other to carry out tasks for the users, which may be illustrated in conversation user interfaces.",B2,utility,64,158
10089072,2018-10-02,2018,Intelligent device arbitration and control,"This relates to systems and processes for using a virtual assistant to arbitrate among and/or control electronic devices. In one example process, a first electronic device samples an audio input using a microphone. The first electronic device broadcasts a first set of one or more values based on the sampled audio input. Furthermore, the first electronic device receives a second set of one or more values, which are based on the audio input, from a second electronic device. Based on the first set of one or more values and the second set of one or more values, the first electronic device determines whether to respond to the audio input or forego responding to the audio input.",B2,utility,2115,2180
10096316,2018-10-09,2018,Sharing intents to provide virtual assistance in a multi-person dialog,"A computing system is operable as virtual personal assistant (VPA) to understand relationships between different instances of natural language dialog expressed by different people in a multi-person conversational dialog session. The VPA can develop a common resource, a shared intent, which represents the VPA's semantic understanding of at least a portion of the multi-person dialog experience. The VPA can store and manipulate multiple shared intents, and can alternate between different shared intents as the multi-person conversation unfolds. With the shared intents, the computing system can generate useful action items and present the action items to one or more of the participants in the dialog session.",B2,utility,10,34
10097729,2018-10-09,2018,Techniques and methods for integrating a personal assistant platform with a secured imaging system,"A system and method provides features for accessing an image processing device by an authorized user and assigning a temporary identifier to the image processing device. The image processing device creates mapping information that associates the authorized user, the temporary identifier and a network address of the image processing device, and stores the mapping information on a server. The user provides voice input commands to a personal assistant application, the voice input commands including the temporary identifier of the image processing device and a requested job functions of the image processing device. The server receives and interprets the voice input commands from the personal assistant application and determines, by recalling the mapping information stored, verifying whether the image processing device having the temporary identifier is available to perform the requested job functions. The image processing device receives instructions to perform the requested job functions and executes the requested job functions.",B1,utility,10,8
10102546,2018-10-16,2018,"System and method for tracking, utilizing predicting, and implementing online consumer browsing behavior, buying patterns, social networking communications, advertisements and communications, for online coupons, products, goods and services, auctions, and service providers using geospatial mapping technology, and social networking","Systems and methods are provided for combined social behavior tracking, online surveillance and web bot software technologies via a mobile device or computer for tracking online consumer behavior and data, cookies, embedded advertisements, predicting online consumer behavior, buying patterns by monitoring online activities, online communications, search inquiries, social networking, social plugins, social applications, advertisements, purchasing, behavior, and buying patterns, consumer address books and contact lists, blogs, chat rooms, friends, acquaintances and strangers, instant messaging, text chat, internet forum, service providers, travel and hospitality, real estate, educational services, ancillary services (as defined herein) and delivery system for behavior targeting and filtering of coupons, mobile services, products, goods and services, advertisements and service providers and related company information on a three dimensional geospatial platform using multi-dimensional and scalable geospatial mapping associated with entities providing and/or members of the service and/or social networking.",B2,utility,10,57
10102846,2018-10-16,2018,"System, method and computer program product for assessing the capabilities of a conversation agent via black box testing","A conversational agent capability assessment method, system, and computer program product, includes obtaining data to create at least one scenario for testing a conversational agent, performing a set of tests using a scenario of the at least one scenario created to assess a capability of the conversational agent, and comparing a result of the capability from the set of tests with an expected result of the scenario.",B2,utility,0,2
10109297,2018-10-23,2018,Context-based virtual assistant conversations,"A virtual assistant may communicate with a user in a conversational manner based on context. For instances, a virtual assistant may be presented to a user to enable a conversation between the virtual assistant and the user. A response to user input that is received during the conversation may be determined based on contextual values related to the conversation or system that implements the virtual assistant.",B2,utility,63,152
10116596,2018-10-30,2018,Personalizing data system components and data sources as chatbots in a group chat session,Provided are techniques for personalizing data system components and data sources as chatbots in a group chat session. A social media gateway interface with a chat adapter for a chat application is provided. One or more chatbots that each represent a corresponding component of a data system are created. The one or more chatbots and the chatbot adapter are used to manage each corresponding component of the data system.,B2,utility,5,28
10122655,2018-11-06,2018,Personalizing data system components and data sources as chatbots in a group chat session,Provided are techniques for personalizing data system components and data sources as chatbots in a group chat session. A social media gateway interface with a chat adapter for a chat application is provided. One or more chatbots that each represent a corresponding component of a data system are created. The one or more chatbots and the chatbot adapter are used to manage each corresponding component of the data system.,B2,utility,5,28
10123119,2018-11-06,2018,Voice controlled assistant with stereo sound from two speakers,"A voice controlled assistant has two speakers and stereo component configured to produce high quality stereo sound. The stereo component generates a first channel signal and a second channel signal used to produce stereo sound. The first channel signal is filtered to remove a range of frequencies, such as the low frequency range. The filtered first channel signal is passed to a first transducer associated with a first speaker to output a first part of the stereo sound. The second channel signal, together with the frequency portion removed from the first channel signal, are provided to a second transducer associated with a second speaker to output a second part of the stereo sound. In this manner, the two speaker arrangement plays stereo, without distortion, while preserving all frequencies in the signals.",B1,utility,13,1
10127224,2018-11-13,2018,Extensible context-aware natural language interactions for virtual personal assistants,"Technologies for extensible, context-aware natural language interactions include a computing device having a number of context source modules. Context source modules may be developed or installed after deployment of the computing device to a user. Each context source module includes a context capture module, a language model, one or more database query mappings, and may include one or more user interface element mappings. The context capture module interprets, generates, and stores context data. A virtual personal assistant (VPA) of the computing device indexes the language models and generates a semantic representation of a user request that associates each word of the request to a language model. The VPA translates the user request into a database query, and may generate a user interface element for the request. The VPA may execute locally on the computing device or remotely on a cloud server. Other embodiments are described and claimed.",B2,utility,3,21
10127227,2018-11-13,2018,Providing access to user-controlled resources by automated assistants,"Techniques are described herein for allowing automated assistants serving users to access data controlled by others, including resources available to automated assistants serving others. In various implementations, a voice input may be received from a first user. A task request may be recognized from the voice input and analyzed. In response to the analysis, a determination may be made that the task request relates to a second user. An access control list relating to an automated assistant engaged by the second user may be checked to determine whether the first user has appropriate access rights as regards the second user. In response to determining that the first user has appropriate access rights as regards the second user, action may be taken on the task request.",B1,utility,14,32
10127513,2018-11-13,2018,Automated multi-channel customer journey testing,"A system and method for automated multi-channel customer journey testing, that links communication channels and follows a customer interaction across multiple channels as a single journey, incorporating data and interaction content from each channel utilized to maintain a “big picture” view of a customer's journey across these channels during an interaction. The invention also provides flexible success indicators to accommodate virtual assistant and chat bot programs, by accommodating variances in expected test results such as to handle natural language variance, time of day, context, and other factors that may cause variances in interaction content.",B1,utility,9,17
10127911,2018-11-13,2018,Speaker identification and unsupervised speaker adaptation techniques,"Systems and processes for generating a speaker profile for use in performing speaker identification for a virtual assistant are provided. One example process can include receiving an audio input including user speech and determining whether a speaker of the user speech is a predetermined user based on a speaker profile for the predetermined user. In response to determining that the speaker of the user speech is the predetermined user, the user speech can be added to the speaker profile and operation of the virtual assistant can be triggered. In response to determining that the speaker of the user speech is not the predetermined user, the user speech can be added to an alternate speaker profile and operation of the virtual assistant may not be triggered. In some examples, contextual information can be used to verify results produced by the speaker identification process.",B2,utility,1968,1622
10131349,2018-11-20,2018,Steering assistant,"A steering assistant includes a lane width setting unit and a determination unit. The lane width setting unit provides setting of a lane width between lane lines on right and left sides of an own vehicle. The determination unit monitors a lane line state to determine how the lane line state has transited, in which the lane line state involves presence or absence of the lane lines on the right and left sides of the own vehicle. The lane width setting unit provides the setting of the lane width, with a virtual lane line assumed on side on which the lane line is missing, when it is determined that the lane line state has transited to a state in which the lane line is provided on either one of the right and left sides of the own vehicle.",B2,utility,1,0
10133612,2018-11-20,2018,Session processing interaction between two or more virtual assistants,"Devices and systems supporting more than one Virtual Assistant (VA) are able to initiate and collaborate with multiple virtual assistants within the same session and at the same time. This system allows application specific virtual assistants to register and listen for intents from a general purpose virtual assistant. When the general purpose virtual assistant raises an intent, control can be passed to an interested application specific virtual assistant for handling. The system of registering new intents increases the knowledge of the general purpose virtual assistant, or overloads the handling of an existing intent.",B2,utility,1,9
10134395,2018-11-20,2018,In-call virtual assistants,"Techniques for providing virtual assistants to assist users during a voice communication between the users. For instance, a first user operating a device may establish a voice communication with respective devices of one or more additional users, such as with a device of a second user. For instance, the first user may utilize her device to place a telephone call to the device of the second user. A virtual assistant may also join the call and, upon invocation by a user on the call, may identify voice commands from the call and may perform corresponding tasks for the users in response.",B2,utility,11,19
10135965,2018-11-20,2018,Use of a digital assistant in communications,"A digital assistant operating on a device is configured to be engaged as an active participant in communications between local and remote parties by listening to voice and video calls and participating in messaging sessions. The digital assistant typically can be initiated by voice using a key word or phrase and then be requested to perform tasks, provide information and services, etc. using voice or gestures. The digital assistant can respond to the request and take appropriate actions. In voice and video calls, the interactions with the digital assistant (i.e., the request, response, and actions) can be heard by both parties to the call as if the digital assistant was a third party on the call. In a messaging session, messages are generated and displayed to each participant so that they can see the interactions with the digital assistant as if it was a participant.",B2,utility,4,20
10147421,2018-12-04,2018,Digital assistant voice input integration,"A digital assistant supported on devices such as smartphones, tablets, personal computers, game consoles, etc. includes an extensibility client that exposes an interface and service that enables third party applications to be integrated with the digital assistant so the application user experiences are rendered using the native voice of the digital assistant. Specific voice inputs associated with a given application may be registered by developers using a manifest that is loaded when the application is launched on the device so that voice inputs from the device user can be mapped by the digital assistant extensibility client to the appropriate application as input events for consumption. In typical implementations, the manifest is arranged as a declarative document that streamlines application development and provides a seamless user experience by enabling customization of third party applications to integrate the digital assistant's voice and behaviors within the user experience of the application's domain.",B2,utility,9,37
10147441,2018-12-04,2018,Voice controlled system,"A distributed voice controlled system has a primary assistant and at least one secondary assistant. The primary assistant has a housing to hold one or more microphones, one or more speakers, and various computing components. The secondary assistant is similar in structure, but is void of speakers. The voice controlled assistants perform transactions and other functions primarily based on verbal interactions with a user. The assistants within the system are coordinated and synchronized to perform acoustic echo cancellation, selection of a best audio input from among the assistants, and distributed processing.",B1,utility,6,6
10152972,2018-12-11,2018,Conversational agent,"A method includes converting a user's utterance to text; encapsulating the converted text in a rheme object; searching, for each of a plurality of topics, for keywords in the converted text; determining a relevancy metric for each of the plurality of topics based on such searching; selecting one or more topics based on determined relevancy metrics; comparing some or all of the converted text to names in one or more patient lists or databases; identifying a unique patient whose name is contained in the converted; attaching an indication of the identified patient to the rheme object; effecting an action based on the selected one or more topics and the attached patient indication; and saving the topic in a conversation history with a reference to the identified patient.",B1,utility,2,16
10154145,2018-12-11,2018,Virtual telephony assistant,Examples are disclosed for placing an outbound telephony call using a smart speaker as a proxy device for a telephone account. A smart speaker may receive a verbal command to initiate the telephone call that includes identifying information for the called party. The verbal command may be forwarded to a smart speaker server where it may be converted to a computer instruction to initiate the telephone call. The computer instruction may then be forwarded to a communications server. The communications server may determine the telephone number to call based on the identifying information for the called party. The communications server may then establish a first communication link between itself and a telephony endpoint of the called party and a second communication link between itself and the smart speaker device. The communication links may then be bridged into a communications session between the smart speaker device and the telephony endpoint of the called party.,B1,utility,3,7
10157615,2018-12-18,2018,Forming chatbot output based on user state,"Techniques are described herein for chatbots to achieve greater social grace by tracking users' states and providing corresponding dialog. In various implementations, input may be received from a user at a client device operating a chatbot, e.g., during a first session between the user and the chatbot. The input may be semantically processed to determine a state expressed by the user to the chatbot. An indication of the state expressed by the user may be stored in memory for future use by the chatbot. It may then be determined, e.g., by the chatbot based on various signals, that a second session between the user and the chatbot is underway. In various implementations, as part of the second session, the chatbot may output a statement formed from a plurality of candidate words, phrases, and/or statements based on the stored indication of the state expressed by the user.",B2,utility,0,4
10158593,2018-12-18,2018,Proactive intelligent personal assistant,"Non-limiting examples of the present disclosure describe proactive action by an intelligent personal assistant application/service to improve functionality of one or more applications. In one example, an intelligent personal assistant service may interface with a messaging application to analyze a message thread within the messaging application. The intelligent personal assistant service may analyze the message thread by evaluating context of message content within the message thread. Analysis of the message thread may occur proactively without requiring an explicit request for assistance from a user of a processing device. In response to the analyzing of the message thread, the intelligent personal assistant service may proactively provide a cue that includes content retrieved by the intelligent personal assistant service. An input may be received to include the cue within the message thread. In response to receiving the input, the cue may be displayed within the message thread. Other examples are also described.",B2,utility,7,29
10162816,2018-12-25,2018,Computerized system and method for automatically transforming and providing domain specific chatbot responses,"Disclosed are systems and methods for improving interactions with and between computers in content searching, generating, hosting and/or providing systems supported by or configured with personal computing devices, servers and/or platforms. The disclosure provides a computerized framework for automatically generating chatbot responses to produce domain-specific responses that mimic native styles unique to particular domains. The disclosed systems and methods construct domain-specific word-graphs based on account activity from specific domains and generate word-patterns. New words obtained from the patterns in the graph are introduced to transform the regular response. The graph is then pruned using data-driven thresholds in order to avoid spurious transformations, and paragraph vectors are also utilized to assign relevance scores to generated patterns such that only the patterns that are contextually similar to the original response (generic/regular response) are used. As result, the regular chatbot response is rewritten using an optimized set of patterns.",B1,utility,0,4
10163440,2018-12-25,2018,Generic virtual personal assistant platform,"A method for assisting a user with one or more desired tasks is disclosed. For example, an executable, generic language understanding module and an executable, generic task reasoning module are provided for execution in the computer processing system. A set of run-time specifications is provided to the generic language understanding module and the generic task reasoning module, comprising one or more models specific to a domain. A language input is then received from a user, an intention of the user is determined with respect to one or more desired tasks, and the user is assisted with the one or more desired tasks, in accordance with the intention of the user.",B2,utility,6,3
10169750,2019-01-01,2019,"Apparatus, systems and methods for wirelessly transacting financial transfers, electronically recordable authorization transfers, and other information transfers","The present invention provides apparatus, systems and methods to wirelessly pay for purchases, electronically interface with financial accounting systems, and electronically record and wirelessly communicate authorization transactions using Personal Digital Assistant (“PDA”) (also referred to as Personal Intelligent Communicators (PICs), and Personal Communicators), palm computers, intelligent handheld cellular and other wireless telephones, and other personal handheld electronic devices configured with infrared or other short range data communications (for referential simplicity, such devices are referred to herein as “PDA's”). The present invention further provides apparatus, firmware, software programs and computer-implemented methods for making service and/or sale service charge payments for credit card charges, debit card charges, electronic cash transfers, ticket and other like financial transactions and for other types of transactions, such as for electronic coupons, where the amount of the transaction is for a small amount of money, such as, for example, less than $5.00.",B2,utility,12,4
